county_id,precinct_abbrv,dem_reg,rep_reg,unaff_reg,other_reg,total_reg,dem_share_2p_reg,rep_share_2p_reg,unaff_share_all,other_share_all
11,44.1,1671,1389,2625,38,5723,0.546078431372549,0.453921568627451,0.4586755198322558,0.006639874191857418
11,45.1,1244,1084,1879,34,4241,0.5343642611683849,0.46563573883161513,0.4430558830464513,0.00801697712803584
11,46.1,445,317,596,5,1363,0.583989501312336,0.41601049868766404,0.4372707263389582,0.003668378576669112
11,47.1,807,1410,1634,32,3883,0.36400541271989173,0.6359945872801083,0.42080865310327065,0.008241050733968582
11,48.1,885,1167,1503,21,3576,0.43128654970760233,0.5687134502923976,0.4203020134228188,0.00587248322147651
11,49.1,819,1359,1682,32,3892,0.3760330578512397,0.6239669421487604,0.43216855087358685,0.008221993833504625
11,50.1,377,420,547,11,1355,0.4730238393977415,0.5269761606022585,0.40369003690036903,0.008118081180811807
11,51.2,475,609,824,15,1923,0.4381918819188192,0.5618081180811808,0.4284971398855954,0.0078003120124804995
11,52.1,782,1412,1635,26,3855,0.35642661804922515,0.6435733819507748,0.42412451361867703,0.006744487678339819
11,53.1,608,1062,1270,16,2956,0.36407185628742517,0.6359281437125749,0.42963464140730717,0.005412719891745603
11,54.2,1250,890,1873,26,4039,0.5841121495327103,0.4158878504672897,0.46372864570438227,0.006437236939836593
11,55.1,749,811,1350,17,2927,0.48012820512820514,0.5198717948717949,0.4612230953194397,0.0058079945336522035
11,56.2,583,379,891,19,1872,0.606029106029106,0.39397089397089397,0.47596153846153844,0.01014957264957265
11,57.1,710,773,1304,11,2798,0.4787592717464599,0.5212407282535402,0.4660471765546819,0.003931379556826304
11,58.1,775,565,1168,14,2522,0.5783582089552238,0.4216417910447761,0.4631245043616178,0.0055511498810467885
11,59.1,1228,865,1690,22,3805,0.5867176301958911,0.41328236980410893,0.44415243101182655,0.005781865965834429
11,60.2,404,182,566,10,1162,0.689419795221843,0.310580204778157,0.48709122203098104,0.008605851979345954
11,60.4,581,308,762,9,1660,0.6535433070866141,0.3464566929133858,0.45903614457831327,0.005421686746987952
11,61.1,764,522,983,15,2284,0.5940902021772939,0.4059097978227061,0.43038528896672507,0.006567425569176883
11,62.1,840,465,983,15,2303,0.6436781609195402,0.3563218390804598,0.42683456361267913,0.006513243595310464
11,63.1,130,186,250,6,572,0.41139240506329117,0.5886075949367089,0.4370629370629371,0.01048951048951049
11,64.1,477,515,800,13,1805,0.4808467741935484,0.5191532258064516,0.44321329639889195,0.007202216066481994
11,65.1,952,646,1159,14,2771,0.5957446808510638,0.40425531914893614,0.41826055575604476,0.005052327679538073
11,66.1,549,341,673,15,1578,0.6168539325842697,0.3831460674157303,0.426489226869455,0.009505703422053232
11,67.1,901,422,1043,10,2376,0.6810279667422524,0.31897203325774753,0.43897306397306396,0.004208754208754209
11,68.1,1098,1177,1803,28,4106,0.4826373626373626,0.5173626373626373,0.4391134924500731,0.006819288845591817
11,681,70,148,142,3,363,0.3211009174311927,0.6788990825688074,0.39118457300275483,0.008264462809917356
11,69.1,907,752,1328,16,3003,0.5467148884870404,0.45328511151295964,0.44222444222444224,0.005328005328005328
11,70.1,1082,499,1301,24,2906,0.6843769765970904,0.31562302340290954,0.44769442532690984,0.008258774948382657
11,71.1,1386,804,1658,24,3872,0.6328767123287671,0.36712328767123287,0.428202479338843,0.006198347107438017
12,0001,538,1230,989,29,2786,0.3042986425339366,0.6957013574660633,0.354989231873654,0.0104091888011486
12,0003,165,542,367,5,1079,0.2333804809052334,0.7666195190947667,0.340129749768304,0.004633920296570899
12,0011,295,1371,970,19,2655,0.17707082833133253,0.8229291716686674,0.3653483992467043,0.007156308851224105
12,0012,131,937,596,9,1673,0.12265917602996254,0.8773408239700374,0.356246264196055,0.005379557680812911
12,0013,274,1378,851,8,2511,0.16585956416464892,0.8341404358353511,0.33890880127439266,0.0031859816806053365
12,0014,164,1006,603,6,1779,0.14017094017094017,0.8598290598290599,0.33895446880269814,0.003372681281618887
12,0015,167,648,475,6,1296,0.2049079754601227,0.7950920245398773,0.36651234567901236,0.004629629629629629
12,0018,87,241,181,2,511,0.2652439024390244,0.7347560975609756,0.3542074363992172,0.003913894324853229
12,0019,98,278,211,7,594,0.26063829787234044,0.7393617021276596,0.3552188552188552,0.011784511784511785
12,0020,190,349,352,4,895,0.3525046382189239,0.647495361781076,0.39329608938547483,0.004469273743016759
12,0021,227,602,479,6,1314,0.2738238841978287,0.7261761158021713,0.3645357686453577,0.0045662100456621
12,0022,287,825,639,8,1759,0.2580935251798561,0.7419064748201439,0.3632745878339966,0.0045480386583285955
12,0024,339,1005,838,13,2195,0.25223214285714285,0.7477678571428571,0.3817767653758542,0.00592255125284738
12,0031,612,374,674,15,1675,0.6206896551724138,0.3793103448275862,0.40238805970149255,0.008955223880597015
12,0034,450,473,723,11,1657,0.4875406283856988,0.5124593716143012,0.43633071816535907,0.006638503319251659
12,0035,411,332,498,2,1243,0.5531628532974427,0.4468371467025572,0.4006436041834272,0.0016090104585679806
12,0036,247,753,672,7,1679,0.247,0.753,0.40023823704586065,0.004169148302561048
12,0038,459,707,736,11,1913,0.3936535162950257,0.6063464837049742,0.3847360167276529,0.00575013068478829
